,alpha,beta,emit,sig1,sig2,sig3,converge
scipy x 80,-5.003758528434154,228.62222902444367,3.77624423660865e-08,2.796822432411302,3.5318973560982894,4.8921366417650045,0.0
gekko x 80,,,,2.796822432411302,3.5318973560982894,4.8921366417650045,0.0
scipy x 81,-5.7807440937867804,293.9731573225035,2.638383198321592e-08,2.6211199446088176,3.321880231764122,4.441273771859165,0.0
gekko x 81,,,,2.6211199446088176,3.321880231764122,4.441273771859165,0.0
scipy x 82,-5.5940234190277165,240.3236141547894,3.2144830483769434e-08,2.7323503521676655,3.2895162853804116,4.750662406043831,0.0
gekko x 82,,,,2.7323503521676655,3.2895162853804116,4.750662406043831,0.0
scipy x 83,-0.5573787111138562,30.487393482797096,2.2778193197182688e-07,2.6588354590668573,3.0067273047877516,4.874274571124969,1.0
gekko x 83,,,,2.6588354590668573,3.0067273047877516,4.874274571124969,0.0
scipy x 84,-5.795859498516444,291.19513445451565,3.077522801473579e-08,2.6186454096839844,3.766473542779148,4.763721101809971,0.0
gekko x 84,,,,2.6186454096839844,3.766473542779148,4.763721101809971,0.0
scipy x 85,-7.520191800174226,280.95118566260186,2.5594088398509648e-08,2.678178586690107,3.19568841276849,4.870913651772185,0.0
gekko x 85,,,,2.678178586690107,3.19568841276849,4.870913651772185,0.0
scipy x 86,-6.251055367467042,252.76958099053337,2.7111689327090678e-08,2.5915425526192326,3.0995560958654567,4.594333349482532,0.0
gekko x 86,,,,2.5915425526192326,3.0995560958654567,4.594333349482532,0.0
scipy x 87,-5.764117055776842,294.4433854024249,2.992717858697627e-08,2.7907453817348773,3.5504452086516247,4.725111158302567,0.0
gekko x 87,,,,2.7907453817348773,3.5504452086516247,4.725111158302567,0.0
scipy x 88,-3.21325262954494,183.07795959567483,4.7792069617693934e-08,2.656527616982429,3.598624630155502,4.528935126037932,0.0
gekko x 88,,,,2.656527616982429,3.598624630155502,4.528935126037932,0.0
scipy x 89,-4.6988710487559455,190.79407035158889,4.129895539667087e-08,2.634052187286505,3.45660256629799,4.911474880202754,0.0
gekko x 89,,,,2.634052187286505,3.45660256629799,4.911474880202754,0.0
scipy x 90,-3.5361158765350433,190.18630047721197,4.2564129977324006e-08,2.651019722637353,3.3922822350453314,4.455152024913155,0.0
gekko x 90,,,,2.651019722637353,3.3922822350453314,4.455152024913155,0.0
scipy x 91,-3.607146300925838,208.8926547705522,4.620975419041654e-08,2.7199356470008684,3.8456326418917888,4.713037411949006,0.0
gekko x 91,,,,2.7199356470008684,3.8456326418917888,4.713037411949006,0.0
scipy x 92,-2.8917195430536182,185.47248756661043,4.939254469919614e-08,2.6890183548807007,3.664887318431869,4.450487383086127,0.0
gekko x 92,,,,2.6890183548807007,3.664887318431869,4.450487383086127,0.0
