,alpha,beta,emit,sig1,sig2,sig3,converge
file1 y scipy,0.3215833909094433,20.0765693917386,4.857757859191001e-07,,,,
file1 y gekko,0.32147079587,20.068620126,4.8588115176e-07,,,,
file3 x scipy,0.1184371618890632,15.86245427572973,5.399264222130623e-07,,,,
file3 x gekko,0.11843277637,15.861261063,5.3994913181e-07,,,,
file3 y scipy,0.1455221930395839,19.30499310767217,8.589517625899256e-07,,,,
file3 y gekko,0.14552219019,19.304992579,8.58951774e-07,,,,
file2 x scipy,-14.39912364974117,424.79379654247697,1.1792898814072318e-08,,,,
file2 x gekko,,,,,,,
file2 y scipy,-41.50687757627778,573.089066627422,1.7056781684097757e-08,,,,
file2 y gekko,,,,,,,
file1 x scipy,-1.0,20.0,2e-07,,,,
file1 x gekko,0.6848484654,6.4738916463,5.6905500333e-07,,,,
file1 y scipy,0.3215833909437943,20.076569392154376,4.857757859203549e-07,,,,
file1 y gekko,-0.32154332075,-20.074158574,-4.8580476201e-07,,,,
file1 x scipy,0.6848489433702087,6.473898456382396,5.690546782801351e-07,,,,
file1 x gekko,0.6848484654,6.4738916463,5.6905500333e-07,,,,
file1 y scipy,0.3215833914002297,20.07656938709261,4.857757859733147e-07,,,,
file1 y gekko,-0.32154332075,-20.074158574,-4.8580476201e-07,,,,
file1 x scipy,0.6848489433702087,6.473898456382396,5.690546782801351e-07,,,,
file1 x gekko,0.684757882,6.4726708449,5.6910761125e-07,,,,
file1 y scipy,0.3215833914002297,20.07656938709261,4.857757859733147e-07,,,,
file1 y gekko,0.32156862413,20.075647454,4.8578692209e-07,,,,
file2 x scipy,-4.63024472811111,216.13258729059896,3.290865850051958e-08,,,,
file2 x gekko,,,,,,,
file2 y scipy,-10.683796502937332,147.74262169111103,6.60540308654802e-08,,,,
file2 y gekko,,,,,,,
file3 x scipy,0.1184371619273982,15.862454276601309,5.39926422178628e-07,,,,
file3 x gekko,-0.1184369356,-15.862423315,-5.3992694916e-07,,,,
file3 y scipy,0.1455221932327213,19.30499311163508,8.589517623259076e-07,,,,
file3 y gekko,-0.14552114,-19.304851641,-8.5895490525e-07,,,,
file2 x scipy,-4.63024472811111,216.13258729059896,3.290865850051958e-08,,,,
file2 x gekko,,,,,,,
file2 y scipy,-10.683796502937332,147.74262169111103,6.60540308654802e-08,,,,
file2 y gekko,,,,,,,
file1 x scipy,0.6848489433702087,6.473898456382396,5.690546782801351e-07,,,,
file1 x gekko,0.684757882,6.4726708449,5.6910761125e-07,,,,
file1 y scipy,0.3215833914002297,20.07656938709261,4.857757859733147e-07,,,,
file1 y gekko,0.32156862413,20.075647454,4.8578692209e-07,,,,
file2 x scipy,-4.63024472811111,216.13258729059896,3.290865850051958e-08,,,,
file2 x gekko,,,,,,,
file2 y scipy,-10.683796502937332,147.74262169111103,6.60540308654802e-08,,,,
file2 y gekko,,,,,,,
file2 x scipy,-4.63024472811111,216.13258729059896,3.290865850051958e-08,,,,
file2 x gekko,,,,,,,
file2 y scipy,-10.683796502937332,147.74262169111103,6.60540308654802e-08,,,,
file2 y gekko,,,,,,,
file2 x scipy,-4.63024472811111,216.13258729059896,3.290865850051958e-08,,,,
file2 x gekko,,,,,,,
file2 y scipy,-10.683796502937332,147.74262169111103,6.60540308654802e-08,,,,
file2 y gekko,,,,,,,
file1 x scipy,0.6848489433702087,6.473898456382396,5.690546782801351e-07,,,,
file1 x gekko,0.684757882,6.4726708449,5.6910761125e-07,,,,
file1 y scipy,0.3215833914002297,20.07656938709261,4.857757859733147e-07,,,,
file1 y gekko,0.32156862413,20.075647454,4.8578692209e-07,,,,
file2 x scipy,-4.63024472811111,216.13258729059896,3.290865850051958e-08,,,,
file2 x gekko,,,,,,,
file2 y scipy,-10.683796502937332,147.74262169111103,6.60540308654802e-08,,,,
file2 y gekko,,,,,,,
file1 x scipy,0.6848489433702087,6.473898456382396,5.690546782801351e-07,,,,
file1 x gekko,0.6848484654,6.4738916463,5.6905500333e-07,,,,
file1 y scipy,0.3215833914002297,20.07656938709261,4.857757859733147e-07,,,,
file1 y gekko,-0.32154332075,-20.074158574,-4.8580476201e-07,,,,
file1 x scipy,0.6848489433666517,6.47389845637072,5.690546782815073e-07,,,,
file1 x gekko,0.68484782604,6.4738879149,5.6905514253e-07,,,,
file1 y scipy,0.3215833909125595,20.076569391657777,4.857757859182089e-07,,,,
file1 y gekko,0.32157113505,20.075946474,4.8578331889e-07,,,,
file2 x scipy,-7.105667052517587,229.9526874360568,2.3572902549251345e-08,,,,
file2 x gekko,,,,,,,
file2 y scipy,-13.59803386380939,174.45516806765653,5.0587399375324646e-08,,,,
file2 y gekko,,,,,,,
file3 x scipy,0.1184371619412177,15.862454278207796,5.399264221348457e-07,,,,
file3 x gekko,0.11843373585,15.862006573,5.3993357655e-07,,,,
file3 y scipy,0.1455221933603509,19.304993111852376,8.589517624033285e-07,,,,
file3 y gekko,-0.14552088627,-19.304819694,-8.5895562122e-07,,,,
file3 x scipy,0.11843716194121776,15.862454278207796,5.399264221348457e-07,,,,
file3 x gekko,0.11843373585,15.862006573,5.3993357655e-07,,,,
file3 y scipy,0.14552219336035094,19.304993111852376,8.589517624033285e-07,,,,
file3 y gekko,-0.14552088627,-19.304819694,-8.5895562122e-07,,,,
